AMINI_ID,Publication_ID,Deposit_ID,Location_ID,Location_Specific,Standard_Form_ID,Illustration,Pages,Fragment,Epigraphic,Stamp_Tituli_Picti
1,1,1,1,Aquileia,1,Fig_2.1,263-65,,0,
2,1,1,1,Aquileia,1,,263-65,,0,
3,1,1,1,Aquileia,1,,263-65,,0,
4,1,1,1,Aquileia,1,,263-65,,0,
5,1,1,1,Aquileia,1,,263-65,,0,
6,1,1,1,Aquileia,1,,263-65,,0,
7,1,1,1,Aquileia,1,,263-65,,0,
8,1,1,1,Aquileia,1,,263-65,,0,
9,1,2,1,Aquileia,1,,263-65,,0,
10,1,3,1,Aquileia,1,,263-65,,0,
11,1,1,1,Aquileia,10,Fig_2.2,263-65,,0,
12,1,1,1,Aquileia,10,,263-65,,0,
13,1,1,1,Aquileia,10,,263-65,,0,
14,1,1,1,Aquileia,10,,263-65,,0,
15,1,1,1,Aquileia,10,,263-65,,0,
16,1,1,1,Aquileia,10,,263-65,,0,
17,1,1,1,Aquileia,10,,263-65,,0,
18,1,1,1,Aquileia,13,,263-65,,0,
19,1,1,1,Aquileia,13,,263-65,,0,
20,1,2,1,Aquileia,10,,263-65,,0,
21,1,3,1,Aquileia,10,,263-65,,0,
22,1,3,1,Aquileia,10,,263-65,,0,
23,1,3,1,Aquileia,10,,263-65,,0,
24,1,3,1,Aquileia,10,,263-65,,0,
25,1,3,1,Aquileia,10,,263-65,,0,
26,1,3,1,Aquileia,10,,263-65,,0,
27,1,3,1,Aquileia,10,,263-65,,0,
28,1,3,1,Aquileia,10,,263-65,,0,
29,1,3,1,Aquileia,10,,263-65,,0,
30,1,3,1,Aquileia,10,,263-65,,0,
31,1,3,1,Aquileia,10,,263-65,,0,
32,1,3,1,Aquileia,13,,263-65,,0,
33,1,3,1,Aquileia,13,,263-65,,0,
34,1,1,1,Aquileia,18,Fig_6,263-65,,0,
35,1,1,1,Aquileia,18,Fig_7,263-65,,0,
36,1,1,1,Aquileia,18,Fig_8,263-65,,0,
37,1,1,1,Aquileia,18,,263-65,,0,
38,1,1,1,Aquileia,18,,263-65,,0,
39,1,1,1,Aquileia,18,,263-65,,0,
40,1,1,1,Aquileia,18,,263-65,,0,
41,1,1,1,Aquileia,18,,263-65,,0,
42,1,1,1,Aquileia,18,,263-65,,0,
43,1,1,1,Aquileia,18,,263-65,,0,
44,1,1,1,Aquileia,18,,263-65,,0,
45,1,1,1,Aquileia,18,,263-65,,0,
46,1,1,1,Aquileia,18,,263-65,,0,
47,1,1,1,Aquileia,18,,263-65,,0,
48,1,1,1,Aquileia,18,,263-65,,0,
49,1,1,1,Aquileia,18,,263-65,,0,
50,1,1,1,Aquileia,18,,263-65,,0,
51,1,1,1,Aquileia,18,,263-65,,0,
52,1,1,1,Aquileia,18,,263-65,,0,
53,1,1,1,Aquileia,18,,263-65,,0,
54,1,1,1,Aquileia,18,,263-65,,0,
55,1,1,1,Aquileia,18,,263-65,,0,
56,1,1,1,Aquileia,18,,263-65,,0,
57,1,1,1,Aquileia,18,,263-65,,0,
58,1,1,1,Aquileia,18,,263-65,,0,
59,1,1,1,Aquileia,18,,263-65,,0,
60,1,1,1,Aquileia,18,,263-65,,0,
61,1,1,1,Aquileia,18,,263-65,,0,
62,1,1,1,Aquileia,18,,263-65,,0,
63,1,1,1,Aquileia,18,,263-65,,0,
64,1,1,1,Aquileia,18,,263-65,,0,
65,1,1,1,Aquileia,18,,263-65,,0,
66,1,1,1,Aquileia,18,,263-65,,0,
67,1,1,1,Aquileia,18,,263-65,,0,
68,1,1,1,Aquileia,18,,263-65,,0,
69,1,1,1,Aquileia,18,Fig_23,263-65,,1,titulus pictus Xl (?) e graffito e .VI
70,1,3,1,Aquileia,18,,263-65,,0,
71,1,3,1,Aquileia,18,,263-65,,0,
72,1,3,1,Aquileia,18,,263-65,,0,
73,1,3,1,Aquileia,18,,263-65,,0,
74,1,11,1,Aquileia,18,,263-65,,0,
75,1,11,1,Aquileia,18,,263-65,,0,
76,1,11,1,Aquileia,18,,263-65,,0,
77,1,11,1,Aquileia,18,,263-65,,0,
78,1,11,1,Aquileia,18,,263-65,,0,
79,1,11,1,Aquileia,18,,263-65,,0,
80,1,1,1,Aquileia,84,Fig_9,263-65,,0,
81,1,1,1,Aquileia,84,Fig_10,263-65,,0,
82,1,1,1,Aquileia,84,Fig_11,263-65,,0,
83,1,1,1,Aquileia,84,Fig_12,263-65,,0,
84,1,1,1,Aquileia,84,,263-65,,0,
85,1,1,1,Aquileia,84,,263-65,,0,
86,1,1,1,Aquileia,84,,263-65,,0,
87,1,1,1,Aquileia,84,,263-65,,0,
88,1,1,1,Aquileia,84,,263-65,,0,
89,1,1,1,Aquileia,84,,263-65,,0,
90,1,1,1,Aquileia,84,,263-65,,0,
91,1,1,1,Aquileia,84,,263-65,,0,
92,1,1,1,Aquileia,84,,263-65,,0,
93,1,1,1,Aquileia,84,,263-65,,0,
94,1,1,1,Aquileia,84,,263-65,,0,
95,1,1,1,Aquileia,84,,263-65,,0,
96,1,1,1,Aquileia,84,,263-65,,0,
97,1,1,1,Aquileia,84,,263-65,,0,
98,1,1,1,Aquileia,84,,263-65,,0,
99,1,1,1,Aquileia,84,,263-65,,0,
100,1,1,1,Aquileia,84,,263-65,,0,
101,1,1,1,Aquileia,84,,263-65,,0,
102,1,1,1,Aquileia,84,,263-65,,0,
103,1,1,1,Aquileia,84,,263-65,,0,
104,1,1,1,Aquileia,84,,263-65,,0,
105,1,1,1,Aquileia,84,,263-65,,0,
