Publication_ID,Publication,Authors,Year_of_Publication,Bibliographic_Reference,Excavation,Survey,Catalogue,Years_of_Activity
1,Gaddi & Maggi 2017,Gaddi & Maggi,2017,"Gaddi, D. and Maggi, P. (2017) 'Anfore Italiche', in Maggi, P., Maselli Scotti, F., Pesavento Mattioli, S. and Zulini, E. (eds.) Materiali per Aquileia: lo scavo di Canale Anfora (2004-2005). Trieste, pp. 263-328.",1,0,1,2004-2005
2,Auriemma & Degrassi 2017,Auriemma & Degrassi,2017,"Auriemma, R. and Degrassi, V. (2017) 'Anfore del Mediterraneo Orientale', in Maggi, P., Maselli Scotti, F., Pesavento Mattioli, S. and Zulini, E. (eds.) Materiali per Aquileia: lo scavo di Canale Anfora (2004-2005). Trieste.",1,0,1,2004-2005
3,Gaddi 2017,Gaddi,2017,"Gaddi, D. (2017) 'Anfore del Mediterraneo Occidentale', in Maggi, P., Maselli Scotti, F., Pesavento Mattioli, S. and Zulini, E. (eds.) Materiali per Aquileia: lo scavo di Canale Anfora (2004-2005). Trieste, pp. 373-94.",1,0,1,2004-2005
4,Mazzocchin 2011,Mazzocchin,2011,"Mazzocchin, S. (2011) Traffici commerciali a Vicenza in epoca romana: i dati delle anfore. PhD, Università degli Studi di Padova.",1,0,1,1700-2000
5,Parodi 2013,Parodi,2013,"Parodi, A. (2013) Le anfore di età romana (I sec a.C – V d.C-) dall’insediamento alla foce del torrente Prino, Imperia-Porto Maurizio. Master's by Research, Università di Pisa.",1,0,1,2006-2007
6,Cipolato 2018,Cipolato,2018,"Cipolato, A. (2018) 'Anfore italiche, egeo-orientali e galliche', in Sperti, L., Tirelli, M. and Cipriano, S. (eds.) Prima dello scavo. Il survey 2012 ad Altino. Venice, pp. 142-53.",0,1,1,2012
7,Pizzolato 2018a,Pizzolato,2018,"Pizzolato, D. (2018) 'Anfore africane', in Sperti, L., Tirelli, M. and Cipriano, S. (eds.) Prima dello scavo. Il survey 2012 ad Altino. Venice, pp. 154-66.",0,1,1,2012
8,Pizzolato 2018b,Pizzolato,2018,"Pizzolato, D. (2018) 'Anfore iberiche', in Sperti, L., Tirelli, M. and Cipriano, S. (eds.) Prima dello scavo. Il survey 2012 ad Altino. Venice, pp. 167-73.",0,1,1,2012
9,"Tuzzato, Cagnoni & Mazzocchin 2010","Tuzzato, Cagnoni & Mazzocchin ",2010,"Tuzzato, S., Cagnoni, M., Mazzocchin, S. (2010) ‘Padova, via dei Salici. Nota preliminare su un drenaggio a sud della città romana’, Quaderni di Archeologia del Veneto, 26, pp. 21-29.",1,0,0,2009
10,"Cipriano, Mazzocchin, & Pastore 1991","Cipriano, Mazzocchin, & Pastore",1991,"Cipriano, S., Mazzocchin, S. and Pastore, P. (1991) 'Novità e problematiche emergenti da un recente rinvenimento di anfore romane a Padova', Quaderni di Archeologia del Veneto, 7, pp. 163-74.",1,0,0,1989-1990
11,Pesavento Mattioli & Mazzocchin 1993,Pesavento Mattioli & Mazzocchin,1993,"Pesavento Mattioli, S. & Mazzocchin, S. (1992) Anfore romane a Padova: le anfore 'con collo ad imbuto' dallo scavo di Roncaglia di Ponte. San Nicolò. Quaderni di Archeologia del Veneto, 9, pp. 148-157.",1,0,0,1989-1992
12,Cipriano & Mazzocchin 1998,Cipriano & Mazzocchin,1998,"Cipriano, S. and Mazzocchin, S. (1998) 'Bonifiche con anfore a Padova: distribuzione topografica e dati cronologici', Quaderni di Archeologia del Veneto, 14, pp. 83-87.",1,0,0,1960-1997
