DESTINI_ID,Publication_ID,Deposit_ID,Location_ID,Location_Specific,Stone_ID,Catalogue_Number,Pages,Fragment
1,1,1,1,Aquileia,5,,313,Paving
2,1,1,1,Aquileia,5,,313,Paving
3,1,1,1,Aquileia,5,,313,Paving
4,1,1,1,Aquileia,5,,313,Paving
5,1,1,1,Aquileia,5,,313,Paving
6,1,1,1,Aquileia,5,,313,Paving
7,1,1,1,Aquileia,5,,313,Paving
8,1,1,1,Aquileia,5,,313,Paving
9,1,1,1,Aquileia,5,,313,Paving
10,1,1,1,Aquileia,5,,313,Paving
11,1,1,1,Aquileia,5,,313,Paving
12,1,1,1,Aquileia,5,,313,Paving
13,1,1,1,Aquileia,6,,313,Paving
14,1,1,1,Aquileia,6,,313,Paving
15,1,1,1,Aquileia,6,,313,Paving
16,1,1,1,Aquileia,6,,313,Paving
17,1,1,1,Aquileia,6,,313,Paving
18,1,1,1,Aquileia,6,,313,Paving
19,1,1,1,Aquileia,6,,313,Paving
20,1,1,1,Aquileia,7,,313,Paving
21,1,1,1,Aquileia,7,,313,Paving
22,1,1,1,Aquileia,7,,313,Paving
23,1,1,1,Aquileia,7,,313,Paving
24,1,1,1,Aquileia,7,,313,Paving
25,1,1,1,Aquileia,8,,313,Paving
26,1,1,1,Aquileia,8,,313,Paving
27,1,1,1,Aquileia,8,,313,Paving
28,1,1,1,Aquileia,8,,313,Paving
29,1,1,1,Aquileia,8,,313,Paving
30,1,1,1,Aquileia,9,,313,Paving
31,1,1,1,Aquileia,9,,313,Paving
32,1,1,1,Aquileia,9,,313,Paving
33,1,1,1,Aquileia,10,,313,Paving
34,1,1,1,Aquileia,10,,313,Paving
35,1,1,1,Aquileia,10,,313,Paving
36,1,1,1,Aquileia,19,,313,Paving
37,1,1,1,Aquileia,19,,313,Paving
38,1,1,1,Aquileia,19,,313,Paving
39,1,1,1,Aquileia,11,,313,Paving
40,1,1,1,Aquileia,11,,313,Paving
41,1,1,1,Aquileia,4,,313,Paving
42,1,1,1,Aquileia,4,,313,Paving
