REFINI_ID,Publication_ID,Deposit_ID,Location_ID,Location_Specific,Standard_Form_ID,Fabric,Fabric_Subtype,Illustration,Pages,Fragment,Provenance_1,Provenance_2,Provenance_3,Epigraphic,OCK,Potter
1,1,1,1,Altinum,1,,,,65,rim,Central_Italy,Not_Available,,0,,
2,1,1,1,Altinum,358,,,tav. 12,65,rim,Central_Italy,Not_Available,,0,,
3,1,1,1,Altinum,358,,,,66,rim,Central_Italy,Not_Available,,0,,
4,1,1,1,Altinum,5,,,tav. 12,66,rim,Central_Italy,Not_Available,,0,,
5,1,1,1,Altinum,7,,,tav. 12,66,rim,Central_Italy,Not_Available,,0,,
6,1,1,1,Altinum,7,,,tav. 12,66,rim,Central_Italy,Not_Available,,0,,
7,1,1,1,Altinum,42,,,tav. 12,66,rim,Central_Italy,Not_Available,,0,,
8,1,1,1,Altinum,64,,,tav. 12,67,rim,Central_Italy,Not_Available,,0,,
9,1,1,1,Altinum,76,,,tav. 12,67,rim,Central_Italy,Not_Available,,0,,
10,1,1,1,Altinum,26,,,tav. 12,67,rim,Central_Italy,Not_Available,,0,,
11,1,1,1,Altinum,26,,,tav. 12,67,rim,Central_Italy,Not_Available,,0,,
12,1,1,1,Altinum,53,,,tav. 12,67,rim,Central_Italy,Not_Available,,0,,
13,1,1,1,Altinum,98,,,tav. 12,67,rim,Central_Italy,Not_Available,,0,,
14,1,1,1,Altinum,359,,,tav. 12,67,handle,Central_Italy,Not_Available,,0,,
15,1,1,1,Altinum,360,,,tav. 12,68,base,Central_Italy,Not_Available,,1,1926.8,A. Ses(tius)
16,1,1,1,Altinum,360,,,tav. 12,68,base,Central_Italy,Arezzo,,1,2516.4,"G. Volusenus, servus Phylades"
17,1,1,1,Altinum,360,,,,68,wall,Central_Italy,Not_Available,,0,,
18,1,1,1,Altinum,360,,,,68,wall,Central_Italy,Not_Available,,0,,
19,1,1,1,Altinum,360,,,,68,wall,Central_Italy,Not_Available,,0,,
20,1,1,1,Altinum,360,,,,68,wall,Central_Italy,Not_Available,,0,,
21,1,1,1,Altinum,360,,,,68,wall,Central_Italy,Not_Available,,0,,
22,1,1,1,Altinum,360,,,,68,wall,Central_Italy,Not_Available,,0,,
23,1,1,1,Altinum,360,,,,68,wall,Central_Italy,Not_Available,,0,,
24,1,1,1,Altinum,360,,,,68,wall,Central_Italy,Not_Available,,0,,
25,2,1,1,Altinum,4,,,tav. 13,73,rim,Northern_Italy,Not_Available,,0,,
26,2,1,1,Altinum,34,,,tav. 13,73,rim,Northern_Italy,Not_Available,,0,,
27,2,1,1,Altinum,35,,,tav. 13,73,rim,Northern_Italy,Not_Available,,0,,
28,2,1,1,Altinum,361,,,tav. 13,73,rim,Northern_Italy,Not_Available,,0,,
29,2,1,1,Altinum,362,,,tav. 13,74,rim,Northern_Italy,Not_Available,,0,,
30,2,1,1,Altinum,86,,,tav. 13,74,rim,Northern_Italy,Not_Available,,0,,
31,2,1,1,Altinum,175,,,tav. 13,74,rim,Northern_Italy,Not_Available,,0,,
32,2,1,1,Altinum,28,,,tav. 13,74,wall,Northern_Italy,Not_Available,,0,,
33,2,1,1,Altinum,29,,,tav. 13,74,wall,Northern_Italy,Not_Available,,0,,
34,2,1,1,Altinum,30,,,tav. 13,74,base,Northern_Italy,Not_Available,,0,,
35,2,1,1,Altinum,30,,,tav. 13,74,base,Northern_Italy,Not_Available,,0,,
36,2,1,1,Altinum,55,,,tav. 13,74,rim,Northern_Italy,Not_Available,,0,,
37,2,1,1,Altinum,363,,,tav. 13,75,rim,Northern_Italy,Not_Available,,0,,
38,2,1,1,Altinum,235,,,tav. 13,75,base,Northern_Italy,Not_Available,,0,,
39,2,1,1,Altinum,236,,,tav. 13,75,base,Northern_Italy,Not_Available,,0,,
40,2,1,1,Altinum,236,,,tav. 13,75,base,Northern_Italy,Not_Available,,0,,
41,2,1,1,Altinum,236,,,tav. 13,75,base,Northern_Italy,Not_Available,,0,,
42,2,1,1,Altinum,236,,,tav. 13,75,base,Northern_Italy,Not_Available,,0,,
43,2,1,1,Altinum,236,,,tav. 13,75,base,Northern_Italy,Not_Available,,0,,
44,2,1,1,Altinum,236,,,tav. 13,75,base,Northern_Italy,Not_Available,,0,,
45,2,1,1,Altinum,236,,,tav. 13,75,base,Northern_Italy,Not_Available,,0,,
46,2,1,1,Altinum,183,,,tav. 13,76,base,Northern_Italy,Not_Available,,0,,
47,2,1,1,Altinum,183,,,tav. 13,76,base,Northern_Italy,Not_Available,,0,,
48,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
49,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
50,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
51,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
52,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
53,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
54,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
55,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
56,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
57,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
58,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
59,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
60,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
61,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
62,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
63,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
64,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
65,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
66,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
67,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
68,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
69,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
70,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
71,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
72,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
73,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
74,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
75,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
76,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
77,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
78,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
79,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
80,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
81,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
82,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
83,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
84,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
85,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
86,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
87,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
88,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
89,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
90,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
91,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
92,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
93,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
94,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
95,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
96,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
97,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
98,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
99,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
100,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
101,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
102,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
103,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
104,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
105,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
106,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
107,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
108,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
109,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
110,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
111,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
112,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
113,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
114,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
115,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
116,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
117,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
118,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
119,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
120,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
121,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
122,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
123,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
124,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
125,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
126,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
127,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
128,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
129,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
130,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
131,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
132,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
133,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
134,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
135,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
136,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
137,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
138,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
139,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
140,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
141,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
142,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
143,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
144,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
145,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
146,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
147,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
148,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
149,2,1,1,Altinum,360,,,,70-72,wall,Northern_Italy,Not_Available,,0,,
