Publication_ID,Publication,Authors,Year_of_Publication,Bibliographic_Reference,Excavation,Survey,Catalogue,Years_of_Activity
1,Dal Sie 2018a,Dal Sie,2018,"Dal Sie, E. (2018). Terra sigillata italica. In L. Sperti, M. Tirelli, & S. Cipriano (Eds.), Prima dello scavo. Il survey 2012 ad Altino (pp. 64-68). Venice.",0,1,1,2012
2,Dal Sie 2018b,Dal Sie,2018,"Dal Sie, E. (2018). Terra sigllata nord-italica. In L. Sperti, M. Tirelli, & S. Cipriano (Eds.), Prima dello scavo. Il survey 2012 ad Altino (pp. 69-79). Venice.",0,1,1,2012
3,Dal Sie 2018c,Dal Sie,2018,"Dal Sie, E. (2018). Terra sigillata gallica. In L. Sperti, M. Tirelli, & S. Cipriano (Eds.), Prima dello scavo. Il survey 2012 ad Altino (pp. 77-81). Venice.",0,1,1,2012
4,Dal Sie 2018d,Dal Sie,2018,"Dal Sie, E. (2018). Terra sigillata medi-adriatica e tarda. In L. Sperti, M. Tirelli, & S. Cipriano (Eds.), Prima dello scavo. Il survey 2012 ad Altino (pp. 105-113). Venice.",0,1,1,2012
5,Pagen 2018a,Pagan,2018,"Pagen, M. (2018). Terra sigillata africana. In L. Sperti, M. Tirelli, & S. Cipriano (Eds.), Prima dello scavo. Il survey 2012 ad Altino (pp. 82-102). Venice.",0,1,1,2012
6,Pagen 2018b,Pagan,2018,"Pagen, M. (2018). Terra sigillata orientale. In L. Sperti, M. Tirelli, & S. Cipriano (Eds.), Prima dello scavo. Il survey 2012 ad Altino (pp. 103-104). Venice.",0,1,1,2012
7,Donat & Maggi 2017,Donat & Maggi,2017,"Donat, P., & Maggi, P. (2017). Terre Sigillate Italiche. In P. Maggi, F. Maselli Scotti, S. Pesavento Mattioli, & E. Zulini (Eds.), Materiali per Aquileia: lo scavo di Canale Anfora (2004-2005) (pp. 71-98). Trieste.",1,0,1,2004-2005
8,Donat 2017,Donat,2017,"Donat, P. (2017). Terra Sigillata Gallica. In P. Maggi, F. Maselli Scotti, S. Pesavento Mattioli, & E. Zulini (Eds.), Materiali per Aquileia: lo scavo di Canale Anfora (2004-2005) (pp. 101-108). Trieste.",1,0,1,2004-2005
9,Masseli Scotti 2017,Maselli Scotti,2017,"Maselli Scotti, F. (2017). Terra Sigillata Orientale. In P. Maggi, F. Maselli Scotti, S. Pesavento Mattioli, & E. Zulini (Eds.), Materiali per Aquileia: lo scavo di Canale Anfora (2004-2005) (pp. 109-114). Trieste.",1,0,1,2004-2005
10,Zulini 2017,Zulini,2017,"Zulini, E. (2017). Terra Sigillata Africana. In P. Maggi, F. Maselli Scotti, S. Pesavento Mattioli, & E. Zulini (Eds.), Materiali per Aquileia: lo scavo di Canale Anfora (2004-2005) (pp. 115-135). Trieste.",1,0,1,2004-2005
11,Mantovani 2021a,Mantovani,2021,"Mantovani, V. (2021). La terra sigillata italica. In J. Bonetto, S. Mazzocchin, & D. Dobreva (Eds.), Aquileia. Fondi Cossar. 3.3. I materiali ceramici (pp. 145-174). Rome.",1,0,0,2009-2015
12,Mantovani 2021b,Mantovani,2021,"Mantovani, V. (2021). La terra sigillata medio-imperiale. In J. Bonetto, S. Mazzocchin, & D. Dobreva (Eds.), Aquileia. Fondi Cossar. 3.3. I materiali ceramici (pp. 175-182). Rome.",1,0,0,2009-2015
13,Cipriano 2021,Cipriano,2021,"Cipriano, S. (2021). La terra sigillata gallica. In J. Bonetto, S. Mazzocchin, & D. Dobreva (Eds.), Aquileia. Fondi Cossar. 3.3. I materiali ceramici (pp. 183-188). Rome.",1,0,0,2009-2015
14,Dobreva & Miriam Griggio 2021,Dobreva & Miriam Griggio,2021,"Dobreva, D. & Angela, Miriam Griggio. (2021). Le ceramiche fini orientali. In J. Bonetto, S. Mazzocchin, & D. Dobreva (Eds.), Aquileia. Fondi Cossar. 3.3. I materiali ceramici (pp. 189-288). Rome.",1,0,0,2009-2015
15,Trivini Bellini 2021,Trivini Bellini,2021,"Trivini Bellini, M. (2021). La terra sigillata africana. In J. Bonetto, S. Mazzocchin, & D. Dobreva (Eds.), Aquileia. Fondi Cossar. 3.3. I materiali ceramici (pp. 301-350). Rome.",1,0,0,2009-2015
16,Bortolamei & Bottos 2017a,Bortolamei & Bottos,2017,"Bortolamei, F., & Bottos, M. (2017). Terre sigillate italiche. In F. Fontana (Ed.), Aquileia, l’insula tra foro e porto fluviale. Lo scavo dell’Università degli Studi di Trieste. (pp. 259-265). Trieste.",1,0,1,2005
17,Bortolamei & Bottos 2017b,Bortolamei & Bottos,2017,"Bortolamei, F., & Bottos, M. (2017). Terre sigillate africane. In F. Fontana (Ed.), Aquileia, l’insula tra foro e porto fluviale. Lo scavo dell’Università degli Studi di Trieste. (pp. 271-283). Trieste.",1,0,1,2005
18,Bortolamei & Bottos 2017c,Bortolamei & Bottos,2017,"Bortolamei, F., & Bottos, M. (2017). Terre sigillate e altre ceramiche fini orientali. In F. Fontana (Ed.), Aquileia, l'insula tra foro e porto fluviale. Lo scavo dell'Università degli Studi di Trieste (pp. 267-269). Trieste.",1,0,1,2005
19,Biondani 2005a,Biondani,2005,"Biondani, F. (2005). Terra sigillata orientale b. In L. Mazzeo Saracino (Ed.), Il complesso edilizio di età romana nell'area dell'ex Vescovado a Rimini (pp. 169-170). Florence.",1,0,1,1962
20,Biondani 2005b,Biondani,2005,"Biondani, F. (2005). Terra sigillata italica. In L. Mazzeo Saracino (Ed.), Il complesso edilizio di età romana nell'area dell'ex Vescovado a Rimini (pp. 171-174). Florence.",1,0,1,1962
21,Biondani 2005c,Biondani,2005,"Biondani, F. (2005). Terra sigillata sud-gallica. In L. Mazzeo Saracino (Ed.), Il complesso edilizio di età romana nell'area dell'ex Vescovado a Rimini (pp. 175-176). Florence.",1,0,1,1962
22,Biondani 2005d,Biondani,2005,"Biondani, F. (2005). Terra sigillata medioadriatica e tarda. In L. Mazzeo Saracino (Ed.), Il complesso edilizio di età romana nell'area dell'ex Vescovado a Rimini (pp. 177-196). Florence.",1,0,1,1962
23,Biondani 2005e,Biondani,2005,"Biondani, F. (2005). Terra sigillata africana. In L. Mazzeo Saracino (Ed.), Il complesso edilizio di età romana nell'area dell'ex Vescovado a Rimini (pp. 197-202). Florence.",1,0,1,1962
24,"Airoldi, Cipriano, & Montevecchi 2018","Airoldi, Cipriano, & Montevecchi",2018,"Airoldi, F., Cipriano, S., & Montevecchi, G. (2018). Suppelletile da mensa. In C. Guarnieri & G. Montevecchi (Eds.), Il Genio delle Acque. Scavi nelle piazze di Ravenna (pp. 107-120). Ravenna.",1,0,0,2008-2009
