Standard_Form_ID,Standard_Form,Production,Vessel,Lower_Date_Form,Upper_Date_Form,Period
1,Consp1.1,Terra_Sigillata,Plate,-40,-10,Imperial
2,Consp2.1,Terra_Sigillata,Plate,-40,-10,Imperial
3,Consp2/11,Terra_Sigillata,Plate,-40,-1,Imperial
4,Consp3,Terra_Sigillata,Plate,50,125,Imperial
5,Consp3.1,Terra_Sigillata,Plate,50,100,Imperial
6,Consp3.1.2,Terra_Sigillata,Plate,50,100,Imperial
7,Consp3.2,Terra_Sigillata,Plate,50,100,Imperial
8,Consp3.2.1,Terra_Sigillata,Plate,50,100,Imperial
9,Consp3.2.2,Terra_Sigillata,Plate,50,100,Imperial
10,Consp3.3,Terra_Sigillata,Plate,50,125,Imperial
11,Consp4,Terra_Sigillata,Plate,-40,54,Imperial
12,Consp4.3,Terra_Sigillata,Plate,-10,14,Imperial
13,Consp4.3-4,Terra_Sigillata,Plate,-10,14,Imperial
14,Consp4.4,Terra_Sigillata,Plate,-10,14,Imperial
15,Consp4.4.2,Terra_Sigillata,Plate,-10,14,Imperial
16,Consp4.5,Terra_Sigillata,Plate,1,14,Imperial
17,Consp4.5.1,Terra_Sigillata,Plate,1,14,Imperial
18,Consp4.6,Terra_Sigillata,Plate,14,54,Imperial
19,Consp4.6.1,Terra_Sigillata,Plate,14,54,Imperial
20,Consp4.7,Terra_Sigillata,Plate,14,54,Imperial
21,Consp4.7.1,Terra_Sigillata,Plate,14,54,Imperial
22,Consp5.3,Terra_Sigillata,Plate,-27,10,Imperial
23,Consp6.1,Terra_Sigillata,Plate,1,37,Imperial
24,Consp6.1.1,Terra_Sigillata,Plate,1,37,Imperial
25,Consp6.2,Terra_Sigillata,Plate,25,50,Imperial
26,Consp7,Terra_Sigillata,Cup/Bowl,-10,14,Imperial
27,Consp7.1,Terra_Sigillata,Cup/Bowl,-10,14,Imperial
28,Consp8,Terra_Sigillata,Cup/Bowl,-27,10,Imperial
29,Consp8.1.3,Terra_Sigillata,Cup/Bowl,-10,10,Imperial
30,Consp9,Terra_Sigillata,Cup,-10,37,Imperial
31,Consp10.1,Terra_Sigillata,Plate,-27,-1,Imperial
32,Consp11,Terra_Sigillata,Plate,-10,-1,Imperial
33,Consp11.1,Terra_Sigillata,Plate,-10,-1,Imperial
34,Consp11.1.4,Terra_Sigillata,Plate,-10,-1,Imperial
35,Consp12,Terra_Sigillata,Plate,-10,14,Imperial
36,Consp12.1,Terra_Sigillata,Plate,-10,-1,Imperial
37,Consp12.1.1,Terra_Sigillata,Plate,-10,-1,Imperial
38,Consp12.1-2,Terra_Sigillata,Plate,-10,14,Imperial
39,Consp12.1-3,Terra_Sigillata,Plate,-10,14,Imperial
40,Consp12.2,Terra_Sigillata,Plate,-10,14,Imperial
